НОВАЯ ПРОГРАММА,Урок на ютуб,Доп материалы к урокам,Домашнее задание
Урок 14. Як заробити на написанні прогрівів,https://youtu.be/PTWiB_NIpcY?si=bL8whh18Mzg-ipUo,Презентація до уроку: https://api.creo.ua/system-files/lessons/documents/AQKKf8fyojsfcVDBpZGmMWCynJEFKCfAdVwhs3hv.pdf,
Модуль 6. Воронки продажів і технічна магія,"Другие варианты названий:

Перевірені методи продажів

Методи продажів і технічне створення продукту

Воронки продажів: від ідеї до оплати",,
Урок 1. Воронки та вікна продажів,https://youtu.be/E_gCKqHqWBo?si=BrZlvezrFqQFFQC0,Презентація до уроку: https://drive.google.com/file/d/1Nia8AmDiR_lTP1__VeY55Jv7HZ8F7FQg/view?usp=sharing,
Урок 2. Цільова дія і пазли продажів,https://youtu.be/Xn15DAY_Wug?si=qGSimImbmKRGynD0,"Презентація до уроку: https://drive.google.com/file/d/1eIg6mCU0iJD1qKhJysVpeQrDbam1SOcV/view?usp=sharing

Приклади Лід магніта за нішами https://drive.google.com/file/d/13oDaf6GAekq55T0uHareS3NPFH3T1VsZ/view?usp=sharing",
Урок 3. Продаж через анкету попереднього запису,https://youtu.be/4tR2LWRe8Kc?si=1Gw2FDJD864mAvn1,Презентація до уроку: https://drive.google.com/file/d/1FtuFziaogcCW4eNV5e_tLfYlL5hwyDtw/view?usp=sharing,
Урок 4. Воронка в БД,https://youtu.be/sHFIRGsKI60?si=rs6LlOJe4ATvANcm,Презентація до уроку: https://drive.google.com/file/d/18CQ1vp4pkY2E5y1C8-4fytAkNc_SUTGV/view?usp=sharing,
Урок 5. Проведення вебінарів,https://youtu.be/1HBw8m3nDkE?si=6JsoCgc8SX7IeiQ_,"Презентація до уроку: https://drive.google.com/file/d/181bvnRkdFszO4j9d4C9lZNJeWgG4mW5X/view?usp=sharing
Таблиця «Покрокового написання сценарію вебінару»: https://docs.google.com/spreadsheets/d/10Z4ghSpsDwW_-EtI-0otHMGBjh-tfmpk/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true
Таблиця «Чек-лист продаючої презентації» : https://docs.google.com/spreadsheets/d/19tneg-KUgoNGgtodBBM5hvwbzTvgrsmn/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true
39 фішок як підняти продажі з вебінару : https://drive.google.com/file/d/1wkhIKN_NI43prcCRwuAg6zHQ66R9Itxw/view?usp=sharing
Приклади продающих презентацій: https://drive.google.com/drive/folders/1fbibEMXjXoibKJW8wvnA5FJKRD500MPH?usp=share_link",
Урок 6. Як проводити діагностику?,"https://www.youtube.com/live/xvmVL1jjeV8?si=Y22nx9V48GfuslhV
https://youtu.be/mwZZcNebNUM?si=MIX2BYW6hxDw2gyk
https://youtu.be/k9LUPoEQ8Pc?si=-tqKB90uujEM6NAK","Продажі через діагностик: https://drive.google.com/file/d/1o1-bJ9PlbrXEcYgOcCD3M34lXO_E6TjG/view?usp=sharing
Скрипт діагностики: https://docs.google.com/spreadsheets/d/1pNXAYMLmDo9eVYsMewyduJGjhgk_UKbB/edit?gid=328407302#gid=328407302
",
Урок 7. Як використовувати директ в запусках,https://youtu.be/sZHbJrh-KKM?si=fHufBiLMxeOsvwfk,"➡️Сервіси і боти для підвищення дохідності на вебінар

Боти:
@baslaybot - бот автоприйому заявок
@notepostbot - бот автоприйому заявок
@SendMasterBot - бот розсилки 

Sendpulse — сервіс e-mail розсилки https://sendpulse.ua/
 
СМС-розсилка https://sms-fly.ua/

Автообдзвін 
https://alphasms.ua/uk/
https://streamtele.com/
https://zvonok.com/

Презентація до уроку: https://drive.google.com/file/d/1gjMeDmCaajQXVaK4tWjL_Qw6XUS86ItJ/view?usp=sharing
Таблиця ""Шаблон повідомлень для телеграм каналу безкоштовника"": https://docs.google.com/spreadsheets/d/1kq717GqyoVaHuiMPJEtLte0z_0sS1VhP/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true",
Урок 8. Формула продукту легенди і продажу,https://youtu.be/OHcU4AI-twc?si=K34Z2_EtyXizOURE,,
Урок 9. Робота з базою,https://youtu.be/XoXBeBBGx_8?si=JrNPM5Sb3seHjGQ1,Приклади та скрипти вихідних пропозицій: https://drive.google.com/file/d/1eL3JPDNtHGqF33zxfwjPV91r4-F1jTGM/view?usp=sharing,
Урок 10. Технічна підготовка до вебінару,https://youtu.be/Vym36I1WnXg?si=C4Dm54m-BSQvpWQ-,,
Урок 11. Робота з програмою OBS,https://youtu.be/ihK2WohsF20?si=I6Z697BdDqvZNuj_,,
Урок 12. Як врятувати запуск,https://youtu.be/RjrpHjRwBhQ?si=k5QmkE63kptrQwLj,Таблиця для аудиту запуску: https://docs.google.com/spreadsheets/d/1oYT20w8dFPnX17owma2Oaj_zcjKRiAuQmURmYX2KPY8/edit?usp=sharing,
Урок 1. Покроковий план проведення курсу,"https://youtu.be/-rmnE0C6gM8?si=3JnO3ZJl-uYKAFtK
https://youtu.be/GXYBmBJylLg?si=SITz3N7QTKvb0KU6","Презентація до уроку: https://drive.google.com/file/d/145Q3bOViHjIz3H105EWBu1KWOhtlbt1e/view?usp=sharing
Презентація до уроку: https://drive.google.com/file/d/1gQj7Zgemw75oK-oz4td6xlfBiXBmR-Af/view?usp=sharing",
Урок 2. Як зробити хороше навчання,https://youtu.be/8N0dNEQ1Du4?si=dgu932JXrEOWLPiB,Презентація до уроку: https://drive.google.com/file/d/19HmrOIQFzhqiy6Rp-z_IAkbhizxZFaX7/view?usp=sharing,
"Урок 3. Як зняти урок, який додивляться до кінця",https://youtu.be/KmAUz2pTf3E?si=WIIrFfhD0D4RKAxB,Презентація до уроку: https://drive.google.com/file/d/1dUnWUMqscbRfAvmtPWm4q-e3gjZmbu56/view?usp=sharing,
Урок 4. Як технічно записати продукт,https://youtu.be/zop5Z71cbds?si=5kausewwtaK56uYr,Презентація до уроку: https://drive.google.com/file/d/14fJ1CvOa-TLnER0-SGinkjrokkcZ_zZy/view?usp=sharing,
Урок 5. Домашні завдання та гейміфікація,https://youtu.be/rKMu0pnaMwo?si=7VW_3rUKSlArvKTz,"Презентація до уроку: https://drive.google.com/file/d/1faWBpIUWoRg_ZXcZokl1sAgVIF8PydbM/view?usp=sharing

Типи домашніх завдань: https://drive.google.com/file/d/1MxotbDQ94Rn8AvGre6SG4R2BYiB9Ad1y/view?usp=sharing

4 типи задоволення від навчання: https://drive.google.com/file/d/1GuUprZiWJKMZv_4jOL4DpUewaV5jg4Oc/view?usp=sharing",
Урок 6. Як створити курс з вау-ефектом,https://youtu.be/_rdrcP5cPtY?si=MRuhPkSda6YPfETB,"Презентація до уроку: https://drive.google.com/file/d/1AefQmM50q_jYK8j-5sGeUT7KqgBfSmZp/view?usp=sharing

Фішки для доходимості учнів до кінця навчання: https://drive.google.com/file/d/1oG_MWQMGsypd8-u69ro8PNLL-kmD47fh/view?usp=sharing",
Урок 7. Вимірювання ефективності освітнього продукту,https://youtu.be/frS9lYhbwq8?si=JC4Vm_x7FhMnuwYn,"Презентація до уроку: https://drive.google.com/file/d/1qY-BgD_jZUNnkwgdHPe5UF0lr_XXh8S1/view?usp=sharing

Шаблон анкети для збору NPS: https://drive.google.com/file/d/1oL_WAjCmX-y85QZCioaE2rnKXyqa6rMb/view?usp=sharing

Вимірювання ефективності навчального продукту: https://docs.google.com/spreadsheets/d/1BoS86374mULp5fA8YMmUxBvF9o7JhxMa/edit?usp=sharing&ouid=100098198954978073195&rtpof=true&sd=true",
Урок 8. Платформи для проведення навчання,https://youtu.be/DLOgie04KzQ?si=i1zFrwHL8obx9Zb8,"Презентація до уроку: https://drive.google.com/file/d/18S_BDmKLVfEfPv8eI4a5yeHS1qN9T_6d/view?usp=sharing

Українські платформи для проведення навчання
https://westudy.ua/
https://softbook.app/",
"Урок 9. Куратори, як залучити та оплачувати",https://youtu.be/y2wbtTB98uw?si=WRi1uKcMMPIDgrz9,"Презентація до уроку: https://drive.google.com/file/d/16jnI7HFvWzPI5ENbgonxQrJzvIvhStdw/view?usp=sharing

Регламент роботи кураторів: https://drive.google.com/file/d/1-JVCAgeCrMOKHwuKWB4eWGBAH4qxVj-e/view?usp=sharing",
Урок 10. Договори,https://youtu.be/DInow-GeDEo?si=Ila42J94cRYP-BDu,Договір публічної оферти: https://docs.google.com/document/d/1OIuxYrzzregtJsbs4NG4uAGx0BHnk6c0UKxAIMt010U/edit?usp=sharing,
Урок 11. Збір відгуків і кейсів,https://youtu.be/5Q1MRG_NOCo?si=CVQL5daPL4VxyNa7,Презентація до уроку: https://drive.google.com/file/d/1DDvp-QpPzoSXpWkd6niUH64JvLNB8PPS/view?usp=sharing,
Модуль 7. Безкоштовне просування. Набираємо 10 000 підписників,,,
Модуль 8. Штучний інтелект: автоматизація 90% роботи,,,
Модуль 9. Система щоденних продажів. Практикум зі створення міні-продуктів за $9–100 на автоматі ,,,
Модуль 10. Масштабування. Побудова сильної команди,,,
